head_1_0,head_1_1,head_2,head_4,head_5,head_6,head_8,head_9,head_10,head_11,head_13_0,head_13_1,head_14,body_0,body_2_0,body_2_1,body_3_0,body_3_1,body_7,body_10_value_1,body_10_value_2,body_10_value_3,body_10_value_4,body_10_value_5,body_11,body_12,body_13,body_15,body_16_value_1,body_16_value_2,body_16_value_3,body_16_value_4,body_18_value_1,body_19,body_21
046024,744,1,669989,1,658,0,dd79f769df67adb50103a19344276532,0,3,5,5,0,0,2,61765,5,5,1,-103,-26,73,24,-94,1,0,0,0,1,0,-1,0,-1,0,1
046024,745,0,669992,0,463,1,9b9defbc80360c294979ebfdccdf63b0,1,7,5,6,0,0,7,70055,5,6,1,-119,-8,17,10,-4,1,0,0,0,1,0,-1,0,-1,0,1
046024,746,0,669994,0,958,0,9171c7f7e48b004148e38deb47e00139,0,4,5,7,0,0,6,83165,5,7,0,,,,,,2,1,1,0,0,8,97,1,112,1,1
046024,747,1,670218,1,838,0,bd0be2b5f6915a7b09d722d86b3f4798,0,0,5,492865,0,0,0,39890,5,492865,1,-59,41,-103,-116,-38,1,0,0,0,1,0,-1,0,-1,0,1
046024,748,0,670221,0,623,0,cd93312f0d5038f0cbf06b22550e0fb5,0,4,5,595448,0,0,6,99010,5,595448,1,-122,-71,1,14,-122,1,0,0,0,1,0,-1,0,-1,0,1
046024,749,1,670235,1,463,0,b8f4d1ec9cbccbfc9d723211a2bf7d51,0,2,5,440885,0,0,1,66036,5,440885,0,,,,,,1,0,0,0,1,0,-1,0,-1,0,1
046024,750,0,670262,0,402,0,b1d9479c7709dcf614839eeaf1c06949,0,0,5,344485,0,0,0,28401,5,344485,0,,,,,,2,5,6,0,2,-120,4,3,40,65,1
046024,751,0,670467,0,857,0,cf715711aa233619b33c6dee88dec8cb,0,2,5,446156,0,0,1,61983,5,446156,1,-113,72,-6,103,-113,1,0,0,0,1,0,-1,0,-1,0,1
046024,752,1,670474,1,372,0,b8b2bf60fa8b2ae30b4678c1569b57c6,0,6,5,533959,0,0,5,19975,5,533959,1,-123,-106,84,-39,20,1,0,0,0,1,0,-1,0,-1,0,1
046024,753,0,670475,0,42,1,e6c08872cba24257154e7ab78266e6af,1,1,5,650425,0,0,3,05016,5,650425,1,-4,-110,-80,-65,87,1,0,0,0,1,0,-1,0,-1,0,1
046024,754,1,670480,1,977,0,f553669f449c8063f70afc36817d4448,0,0,5,455238,0,0,0,34511,5,455238,1,105,32,-103,53,-118,1,0,0,0,1,0,-1,0,-1,0,1
046024,755,0,670488,0,202,0,145b901151d1edd86d678368b00200ef,0,2,5,631957,0,0,1,60282,5,631957,0,,,,,,2,5,6,0,0,121,82,2,80,2,1
046024,756,1,670489,1,122,0,dcc2ac9ca1e390ae0fce76a9c2b97188,0,6,5,418955,0,0,5,19755,5,418955,0,,,,,,1,0,0,0,1,0,-1,0,-1,0,1
046024,757,0,670493,0,652,0,257c95de4ec5b96715640a9a4433682f,0,0,5,456253,0,0,0,45988,5,456253,1,-69,20,100,-57,-87,3,0,0,0,1,0,-1,0,-1,0,1
046024,758,0,670516,0,777,0,1f992eec7c68a8a024b418d20a489ebe,0,6,5,615804,0,0,5,17016,5,615804,0,,,,,,2,7,7,0,0,96,-119,2,0,80,1
046024,759,0,670517,0,713,0,7bf91f2bed09d6518e4c04b593c06b0a,0,4,5,666639,0,0,02349,01826,5,666639,0,,,,,,2,2,2,0,0,116,-126,2,55,36,1
046024,760,1,720918,1,171,0,556c2884c21ee9cc0284dac4eae56419,0,3,5,638729,0,0,2,73631,5,638729,1,-9,-27,-111,101,-87,1,3,3,0,2,100,18,6,113,4,1
046024,761,0,720921,0,706,1,335d02317544631e8f61cade38fd14d3,1,1,5,345061,0,0,3,32239,5,345061,0,,,,,,2,6,4,0,2,65,100,3,121,1,1
046024,762,0,720922,0,352,0,498262f037409ad7fa4a1df911f47488,0,3,5,473962,0,0,2,78890,5,473962,0,,,,,,2,1,1,0,0,7,-128,2,19,1,1
046024,763,1,720945,1,300,1,f6830aafa173865d8d2408032226cb88,1,1,5,394443,0,0,3,00728,5,394443,1,-86,-96,64,1,51,1,0,0,0,1,0,-1,0,-1,0,1
046024,764,1,721169,1,105,1,eb2e691b1f3c445f0cd206a9872927e1,1,7,5,575081,0,0,7,44325,5,575081,1,-95,125,-43,98,49,1,0,0,0,1,0,-1,0,-1,0,1
046024,765,1,721170,1,424,1,5ff7426aecf42ff9c0791ebe1975b2c8,1,1,5,343625,0,0,3,1,5,343625,1,96,-20,49,98,96,1,0,0,0,1,0,-1,0,-1,0,1
