head_2,head_7,head_8,head_10,head_12,head_13_0,head_13_1,head_14,head_21_value_1,head_21_value_2,head_21_value_3,body_11,body_12,body_13,body_14_value_1,body_14_value_2,body_14_value_3,body_14_value_4,body_15_value_1,body_15_value_2,body_15_value_3,body_15_value_4,body_15_value_5,body_16,body_17
0,3,54,100,6,0172,29987,6615057,5,6,,80,65,1,-30,-22,-51,-78,,,,,,664664673714.0,4195115.0
0,3,59,600,6,0172,29987,6615057,5,6,,80,65,1,-30,-22,-51,-78,,,,,,664664673714.0,4195115.0
4,2,41,600,6,14,94947,6615057,6,5,,80,65,2,,,,,,,,,,600258412254.0,2514.0
4,4,29,500,6,14,94947,6615057,6,5,,80,65,2,,,,,,,,,,600258412254.0,2514.0
4,0,52,400,6,14,94947,6615057,6,5,,80,65,2,,,,,,,,,,600258412254.0,2514.0
4,3,8,400,6,14,94947,6615057,6,5,,80,65,2,,,,,,,,,,600258412254.0,2514.0
9,4,24,400,0,14,96608,6615056,9,5,,5,128,0,,,,,,,,,,5132452147.0,5986.0
9,2,36,500,7,14,96828,6615056,8,5,,5,128,0,,,,,,,,,,5079041209.0,3314.0
11,4,24,400,7,14,96828,6615056,8,,,5,128,0,,,,,,,,,,5079041209.0,3314.0
9,0,52,400,7,14,96828,6615056,8,5,,5,128,0,,,,,,,,,,5079041209.0,3314.0
9,3,18,600,7,14,96828,6615056,8,5,,5,128,0,,,,,,,,,,5079041209.0,3314.0
6,4,24,400,1,14,97041,6615057,6,,,80,65,6,,,,,,,,,,598182921354.0,5018.0
6,4,13,900,0,14,97074,6615056,9,5,,5,128,1,,,,,,,,,,17312186468.0,5302.0
6,4,24,400,0,14,97074,6615056,9,5,,5,128,1,,,,,,,,,,17312186468.0,5302.0
6,4,29,500,2,14,97074,6615056,9,5,,5,128,1,,,,,,,,,,17312186468.0,5302.0
6,4,24,400,3,14,97096,6615057,6,,,80,65,5,,,,,,,,,,594939828092.0,4011.0
6,15,58,600,7,14,97108,6615057,6,,,80,65,1,,,,,,,,,,589515187615.0,1854.0
6,4,3,700,7,14,97109,6615057,6,,,80,65,2,,,,,,,,,,591666836247.0,2718.0
6,4,24,400,7,14,97109,6615057,6,,,80,65,2,,,,,,,,,,591666836247.0,2718.0
6,15,53,500,2,14,97111,6615057,6,,,80,65,4,,,,,,,,,,599226725208.0,4632.0
6,4,24,400,2,14,97111,6615057,6,,,80,65,4,,,,,,,,,,599226725208.0,4632.0
11,15,54,0,2,14,97112,6615056,9,,,5,128,0,,,,,,,,,,4482728726.0,2701.0
6,15,55,600,1,14,97113,6615057,6,,,80,65,5,,,,,,,,,,587422632456.0,4593.0
6,15,58,600,1,14,97113,6615057,6,,,80,65,5,,,,,,,,,,587422632456.0,4593.0
6,15,58,700,0,14,97114,6615057,6,,,80,65,2,,,,,,,,,,584151527469.0,6077.0
6,4,3,800,4,14,97115,6615057,6,,,80,65,5,,,,,,,,,,584204462719.0,548.0
6,4,4,300,1,14,97116,6615057,9,,,80,65,1,,,,,,,,,,587353916412.0,4236.0
4,4,5,800,2,14,97117,6615057,6,5,,80,65,2,,,,,,,,,,591669100144.0,6092.0
12,4,9,800,0,14,97118,6615057,6,,,80,65,2,,,,,,,,,,,1756.0
6,4,10,500,6,14,97119,6615057,6,,,80,65,1,,,,,,,,,,588428540094.0,5439.0
6,4,19,100,6,14,97119,6615057,6,,,80,65,1,,,,,,,,,,588428540094.0,5439.0
6,4,24,400,6,14,97119,6615057,6,,,80,65,1,,,,,,,,,,588428540094.0,5439.0
6,0,52,400,6,14,97119,6615057,6,,,80,65,1,,,,,,,,,,588428540094.0,5439.0
6,3,8,400,6,14,97119,6615057,6,,,80,65,1,,,,,,,,,,588428540094.0,5439.0
6,4,12,200,2,14,97135,6615057,6,,,80,65,1,,,,,,,,,,628164067245.0,2266.0
6,4,13,900,2,14,97135,6615057,6,,,80,65,1,,,,,,,,,,628164067245.0,2266.0
12,4,34,700,7,14,97136,6615057,5,,,80,65,2,,,,,,,,,,,5270.0
4,4,20,500,2,14,97137,6615057,6,5,,80,65,1,,,,,,,,,,623862956290.0,5413.0
4,4,24,200,2,14,97137,6615057,6,5,,80,65,1,,,,,,,,,,623862956290.0,5413.0
