head_1_0,head_1_1,head_1_2,head_2,head_4_0,head_4_1,head_5,head_6_0,head_6_1,head_8,head_9,head_10,head_11,head_13_0,head_13_1,head_13_2,head_13_3,head_13_4,head_13_5,head_14,body_0,body_2_0,body_2_1,body_2_2,body_2_3,body_2_4,body_3_0,body_3_1,body_3_2,body_3_3,body_3_4,body_3_5,body_7,body_10_value_1,body_10_value_2,body_10_separator_2,body_10_value_3,body_10_separator_3,body_10_value_4,body_10_separator_4,body_10_value_5,body_11,body_12,body_13,body_15,body_16_value_1,body_16_value_2,body_16_value_3,body_16_value_4,body_18_value_1,body_19,body_21
460247,4,4,1,66998,9,2,65,8,0,dd79f769df67adb50103a19344276532,0,3,15,7,9,0,2,9,0,2,6,1,7,6,5,15,7,9,0,2,9,2,-103.0,-26.0,0,73.0,0,24.0,0,-94.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,4,5,0,66999,2,1,46,3,1,9b9defbc80360c294979ebfdccdf63b0,1,7,16,0,8,3,1,8,0,2,85567,0,0,5,5,16,0,8,3,1,8,2,-119.0,-8.0,0,17.0,0,10.0,0,-4.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,4,6,0,66999,4,1,95,8,0,9171c7f7e48b004148e38deb47e00139,0,4,16,6,2,2,8,3,0,2,9,3,1,6,5,16,6,2,2,8,3,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,8,97,4,112,0,1
460247,4,7,1,67021,8,2,83,8,0,bd0be2b5f6915a7b09d722d86b3f4798,0,0,14,9,2,8,6,5,0,2,0,9,8,9,0,14,9,2,8,6,5,2,6,41.0,0,6,0,-116.0,0,3,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,4,8,0,67022,1,1,62,3,0,cd93312f0d5038f0cbf06b22550e0fb5,0,4,15,9,5,4,4,8,0,2,7,9,0,1,0,15,9,5,4,4,8,2,-122.0,-71.0,0,1.0,0,14.0,0,-122.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,4,9,1,67023,5,2,46,3,0,b8f4d1ec9cbccbfc9d723211a2bf7d51,0,2,14,4,0,8,8,5,0,2,5,6,0,3,6,14,4,0,8,8,5,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,5,0,0,67026,2,1,40,2,0,b1d9479c7709dcf614839eeaf1c06949,0,0,13,4,4,4,8,5,0,2,115762,8,4,0,1,13,4,4,4,8,5,1,nan,nan,-1,nan,-1,nan,-1,nan,2,5,6,0,2,-120,4,9,40,65,1
460247,5,1,0,67046,7,1,85,7,0,cf715711aa233619b33c6dee88dec8cb,0,2,14,4,6,1,5,6,0,2,5,1,9,8,3,14,4,6,1,5,6,2,-113.0,72.0,0,-6.0,0,103.0,0,-113.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,5,2,1,67047,4,2,37,2,0,b8b2bf60fa8b2ae30b4678c1569b57c6,0,6,15,3,3,9,5,9,0,2,3,9,9,7,5,15,3,3,9,5,9,2,-123.0,-106.0,0,84.0,0,-39.0,0,11,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,5,3,0,67047,5,1,4,2,1,e6c08872cba24257154e7ab78266e6af,1,1,16,5,0,4,2,5,0,2,243270,5,0,1,6,16,5,0,4,2,5,2,-4.0,5,0,12,0,0,0,87.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,5,4,1,67048,0,2,97,7,0,f553669f449c8063f70afc36817d4448,0,0,14,5,5,2,3,8,0,2,0,4,5,1,1,14,5,5,2,3,8,2,15,32.0,0,6,0,53.0,0,12,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,5,5,0,67048,8,1,20,2,0,145b901151d1edd86d678368b00200ef,0,2,16,3,1,9,5,7,0,2,5,0,2,8,2,16,3,1,9,5,7,1,nan,nan,-1,nan,-1,nan,-1,nan,2,5,6,0,0,121,82,5,80,1,1
460247,5,6,1,67048,9,2,12,2,0,dcc2ac9ca1e390ae0fce76a9c2b97188,0,6,14,1,8,9,5,5,0,2,3,9,7,5,5,14,1,8,9,5,5,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,5,7,0,15,3,1,65,2,0,257c95de4ec5b96715640a9a4433682f,0,0,14,5,6,2,5,3,0,2,1,5,9,8,8,14,5,6,2,5,3,2,-69.0,20.0,0,100.0,0,12,0,-87.0,3,0,0,0,1,-1,-1,-1,-1,-1,1
460247,5,8,0,67051,6,1,77,7,0,1f992eec7c68a8a024b418d20a489ebe,0,6,16,1,5,8,0,4,0,2,3,7,0,1,6,16,1,5,8,0,4,1,nan,nan,-1,nan,-1,nan,-1,nan,2,7,7,0,0,96,-119,5,0,80,1
460247,5,9,0,67051,7,1,71,3,0,7bf91f2bed09d6518e4c04b593c06b0a,0,4,16,6,6,6,3,9,0,2,14,1,8,2,6,16,6,6,6,3,9,1,nan,nan,-1,nan,-1,nan,-1,nan,2,2,2,0,0,116,-126,5,55,36,1
460247,6,0,1,72091,8,2,17,1,0,556c2884c21ee9cc0284dac4eae56419,0,3,16,3,8,7,2,9,0,2,4,3,6,3,1,16,3,8,7,2,9,2,-9.0,-27.0,0,13,0,101.0,0,-87.0,1,3,3,0,2,100,18,16,113,54,1
460247,6,1,0,72092,1,1,70,6,1,335d02317544631e8f61cade38fd14d3,1,1,13,4,5,0,6,1,0,2,243273,2,2,3,9,13,4,5,0,6,1,1,nan,nan,-1,nan,-1,nan,-1,nan,2,6,4,0,2,65,100,9,121,0,1
