head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,body_0,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,body_11,body_12,body_13,body_14,body_15,body_16,body_17,body_18,body_19,body_20,body_21
16777234,46024744,cell_0,132579601,669989,2,658,255,6615056,dd79f769df67adb50103a19344276532,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,1579029,0,2,0,1207961765,1579029,0,0,0,2,,,-103;-26;73;24;-94,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024745,cell_1,132579601,669992,1,463,255,6615057,9b9defbc80360c294979ebfdccdf63b0,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,1608318,0,2,0,855670055,1608318,0,0,0,2,,,-119;-8;17;10;-4,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024746,cell_1,132579601,669994,1,958,255,6615056,9171c7f7e48b004148e38deb47e00139,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,1662283,0,2,0,234883165,1662283,0,0,0,1,,,,199,50000000,150000000,4294967295,0,-122;8;97;4,0,112;-1;-1,0,0,1540
16777234,46024747,cell_0,132579601,670218,2,838,255,6615056,bd0be2b5f6915a7b09d722d86b3f4798,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1492865,0,2,0,1157639890,1492865,0,0,0,2,,,-59;41;-103;-116;-38,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024748,cell_1,132579601,670221,1,623,255,6615056,cd93312f0d5038f0cbf06b22550e0fb5,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,1595448,0,2,0,234899010,1595448,0,0,0,2,,,-122;-71;1;14;-122,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024749,cell_0,132579601,670235,2,463,255,6615056,b8f4d1ec9cbccbfc9d723211a2bf7d51,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,1440885,0,2,0,402666036,1440885,0,0,0,1,,,,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024750,cell_1,132579601,670262,1,402,255,6615056,b1d9479c7709dcf614839eeaf1c06949,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1344485,0,2,0,1157628401,1344485,0,0,0,1,,,,199,110100000,346029000,4294967295,0,53;-120;4;9,0,40;-1;-1,65,0,1540
16777234,46024751,cell_1,132579601,670467,1,857,255,6615056,cf715711aa233619b33c6dee88dec8cb,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,1446156,0,2,0,402661983,1446156,0,0,0,2,,,-113;72;-6;103;-113,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024752,cell_0,132579601,670474,2,372,255,6615056,b8b2bf60fa8b2ae30b4678c1569b57c6,5cba29c06294c278e73e9261d04a0fd7,ea5d2f1c4608232e07d3aa3d998e5135,4294967295,1533959,0,2,0,436219975,1533959,0,0,0,2,,,-123;-106;84;-39;20,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024753,cell_1,132579601,670475,1,42,255,6615057,e6c08872cba24257154e7ab78266e6af,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,1650425,0,2,0,2432705016,1650425,0,0,0,2,,,-4;-110;-80;-65;87,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024754,cell_0,132579601,670480,2,977,255,6615056,f553669f449c8063f70afc36817d4448,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1455238,0,2,0,1157634511,1455238,0,0,0,2,,,105;32;-103;53;-118,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024755,cell_1,132579601,670488,1,202,255,6615056,145b901151d1edd86d678368b00200ef,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,1631957,0,2,0,402660282,1631957,0,0,0,1,,,,199,110100000,346029000,4294967295,0,-122;121;82;5,0,80;-1;-1,1,0,1540
16777234,46024756,cell_0,132579601,670489,2,122,255,6615056,dcc2ac9ca1e390ae0fce76a9c2b97188,5cba29c06294c278e73e9261d04a0fd7,ea5d2f1c4608232e07d3aa3d998e5135,4294967295,1418955,0,2,0,436219755,1418955,0,0,0,1,,,,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024757,cell_1,132579601,670493,1,652,255,6615056,257c95de4ec5b96715640a9a4433682f,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1456253,0,2,0,1157645988,1456253,0,0,0,2,,,-69;20;100;-57;-87,68,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024758,cell_1,132579601,670516,1,777,255,6615056,1f992eec7c68a8a024b418d20a489ebe,5cba29c06294c278e73e9261d04a0fd7,ea5d2f1c4608232e07d3aa3d998e5135,4294967295,1615804,0,2,0,436217016,1615804,0,0,0,1,,,,199,76800000,307200000,4294967295,0,-122;96;-119;5,0,0;-1;-1,80,0,1540
16777234,46024759,cell_1,132579601,670517,1,713,255,6615056,7bf91f2bed09d6518e4c04b593c06b0a,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,1666639,0,2,0,234901826,1666639,0,0,0,1,,,,199,102400000,512000000,4294967295,0,-122;116;-126;5,0,55;-1;-1,36,0,1540
16777234,46024760,cell_0,132579601,720918,2,171,255,6615056,556c2884c21ee9cc0284dac4eae56419,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,1638729,0,2,0,1207973631,1638729,0,0,0,2,,,-9;-27;-111;101;-87,72,136314000,555745000,4294967295,0,53;100;18;16,0,113;-1;-1,54,0,1540
16777234,46024761,cell_1,132579601,720921,1,706,255,6615057,335d02317544631e8f61cade38fd14d3,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,1345061,0,2,0,2432732239,1345061,0,0,0,1,,,,199,75000000,300000000,4294967295,0,53;65;100;9,0,121;-1;-1,0,0,1540
16777234,46024762,cell_1,132579601,720922,1,352,255,6615056,498262f037409ad7fa4a1df911f47488,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,1473962,0,2,0,1207978890,1473962,0,0,0,1,,,,199,50000000,150000000,4294967295,0,-122;-103;-128;5,0,19;-1;-1,0,0,1540
16777234,46024763,cell_0,132579601,720945,2,300,255,6615057,f6830aafa173865d8d2408032226cb88,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,1394443,0,2,0,2432700728,1394443,0,0,0,2,,,-86;-96;64;1;51,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024764,cell_0,132579601,721169,2,105,255,6615057,eb2e691b1f3c445f0cd206a9872927e1,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,1575081,0,2,0,855644325,1575081,0,0,0,2,,,-95;125;-43;98;49,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
