id,1Col Bit,1Col Diff,1Col Total,2Col Bit,2Col Diff,2Col Total,Metadata,Parquet,CSV,1Col+Meta/Parquet,2Col+Meta/Parquet
16777219,6344,21020,27364,9432,17388,26820,15240,115426,237440,0.3691022819815293,0.3643893057023548
16777217,680,1660,2340,924,1372,2296,1912,18994,44100,0.22386016636832684,0.22154364536169316
16777271,1480,5476,6956,2364,4652,7016,4168,35490,79213,0.31344040574809806,0.3151310228233305
16777263,400,960,1360,508,724,1232,956,15610,22466,0.1483664317745035,0.1401665598975016
16777220,788,2460,3248,1132,1896,3028,2608,19181,45580,0.30530212189145506,0.293832438350451
16777228,772,2344,3116,1104,1928,3032,1304,14724,48067,0.30019016571583806,0.29448519424069547
16777227,3516,17944,21460,5548,15784,21332,3416,95210,201841,0.2612750761474635,0.2599306795504674
16777242,268,804,1072,340,628,968,2280,148640,85722,0.02255113024757804,0.02185145317545748
16777226,1312,2200,3512,1764,1568,3332,1800,206928,133976,0.02567076471043068,0.024800896930333258
16777258,6048,10372,16420,6756,7460,14216,5172,279735,1898344,0.07718733801633688,0.06930845264267968
16777225,3684,10120,13804,5424,7716,13140,4652,228944,447153,0.0806135998322734,0.07771332727653923
Total,25292,75360,100652,35296,61116,96412,43508,1178882,3243902,0.12228535171459061,0.118688723722985
