File Name,Parquet Size
12604717_16777226,1153812
12604717_16777217,857734
12605008_16777227,2199312
12605008_16777263,463558
12604717_16777219,8454626
12604717_16777228,655700
12604717_16777263,406147
12605008_16777228,678687
12604717_16777227,1947498
12605008_16777217,879663
12604717_16777247,55230
12604717_16777242,1005453
12605008_16777219,9150169
12605008_16777226,1280230
12605008_16777225,8630371
12605008_16777271,1620787
12605008_16777258,7003514
12605008_16777220,953571
12605008_16777242,606529
12604717_16777225,7783809
12604717_16777220,832869
12604717_16777258,5515108
12604717_16777271,1296799
12605008_16777247,20745
