head_0,head_1_0,head_1_1,head_1_2,head_2,head_3,head_4_0,head_4_1,head_4_2,head_5,head_6_0,head_6_1,head_7,head_8,head_9,head_10,head_11,head_12,head_13_0,head_13_1,head_13_2,head_13_3,head_13_4,head_13_5,head_14,body_0,body_1,body_2_0,body_2_1,body_2_2,body_2_3,body_2_4,body_3_0,body_3_1,body_3_2,body_3_3,body_3_4,body_3_5,body_4,body_5,body_6,body_7,body_8,body_9,body_10_value_1,body_10_separator_1,body_10_value_2,body_10_separator_2,body_10_value_3,body_10_separator_3,body_10_value_4,body_10_separator_4,body_10_value_5,body_11,body_12,body_13,body_14,body_15,body_16_value_1,body_16_separator_1,body_16_value_2,body_16_separator_2,body_16_value_3,body_16_separator_3,body_16_value_4,body_17,body_18_value_1,body_18_separator_1,body_18_value_2,body_18_separator_2,body_18_value_3,body_19,body_20,body_21
16777234,460247,4,4,cell_0,132579601,6699,8,9,2,65,8,255,6615056,dd79f769df67adb50103a19344276532,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,15,7,9,0,2,9,0,2,0,120796,1,7,6,5,15,7,9,0,2,9,0,0,0,2,,,-103.0,;,-26.0,;,73.0,;,24.0,;,-94.0,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,460247,4,5,cell_1,132579601,6699,9,2,1,46,3,255,6615057,9b9defbc80360c294979ebfdccdf63b0,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,16,0,8,3,1,8,0,2,0,85567,0,0,5,5,16,0,8,3,1,8,0,0,0,2,,,-119.0,;,-8.0,;,17.0,;,10.0,;,-4.0,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,460247,4,6,cell_1,132579601,6699,9,4,1,95,8,255,6615056,9171c7f7e48b004148e38deb47e00139,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,16,6,2,2,8,3,0,2,0,23488,3,1,6,5,16,6,2,2,8,3,0,0,0,1,,,,;,,,,,,,,199,50000000,150000000,4294967295,0,-122,;,8,;,97,;,4,0,112,;,-1,;,-1,0,0,1540
16777234,460247,4,7,cell_0,132579601,6702,1,8,2,83,8,255,6615056,bd0be2b5f6915a7b09d722d86b3f4798,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,14,9,2,8,6,5,0,2,0,115763,9,8,9,0,14,9,2,8,6,5,0,0,0,2,,,-59.0,;,41.0,;,-103.0,;,-116.0,;,-38.0,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,460247,4,8,cell_1,132579601,6702,2,1,1,62,3,255,6615056,cd93312f0d5038f0cbf06b22550e0fb5,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,15,9,5,4,4,8,0,2,0,23489,9,0,1,0,15,9,5,4,4,8,0,0,0,2,,,-122.0,;,-71.0,;,1.0,;,14.0,;,-122.0,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,460247,4,9,cell_0,132579601,6702,3,5,2,46,3,255,6615056,b8f4d1ec9cbccbfc9d723211a2bf7d51,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,14,4,0,8,8,5,0,2,0,40266,6,0,3,6,14,4,0,8,8,5,0,0,0,1,,,,;,,,,,,,,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,460247,5,0,cell_1,132579601,6702,6,2,1,40,2,255,6615056,b1d9479c7709dcf614839eeaf1c06949,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,13,4,4,4,8,5,0,2,0,115762,8,4,0,1,13,4,4,4,8,5,0,0,0,1,,,,;,,,,,,,,199,110100000,346029000,4294967295,0,53,;,-120,;,4,;,9,0,40,;,-1,;,-1,65,0,1540
16777234,460247,5,1,cell_1,132579601,6704,6,7,1,85,7,255,6615056,cf715711aa233619b33c6dee88dec8cb,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,14,4,6,1,5,6,0,2,0,40266,1,9,8,3,14,4,6,1,5,6,0,0,0,2,,,-113.0,;,72.0,;,-6.0,;,103.0,;,-113.0,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,460247,5,2,cell_0,132579601,6704,7,4,2,37,2,255,6615056,b8b2bf60fa8b2ae30b4678c1569b57c6,5cba29c06294c278e73e9261d04a0fd7,ea5d2f1c4608232e07d3aa3d998e5135,4294967295,15,3,3,9,5,9,0,2,0,43621,9,9,7,5,15,3,3,9,5,9,0,0,0,2,,,-123.0,;,-106.0,;,84.0,;,-39.0,;,20.0,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,460247,5,3,cell_1,132579601,6704,7,5,1,4,2,255,6615057,e6c08872cba24257154e7ab78266e6af,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,16,5,0,4,2,5,0,2,0,243270,5,0,1,6,16,5,0,4,2,5,0,0,0,2,,,-4.0,;,-110.0,;,-80.0,;,-65.0,;,87.0,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
