head_0,head_1_0,head_1_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13_0,head_13_1,head_14,body_0,body_1,body_2_0,body_2_1,body_3_0,body_3_1,body_4,body_5,body_6,body_7,body_8,body_9,body_10_value_1,body_10_separator_1,body_10_value_2,body_10_separator_2,body_10_value_3,body_10_separator_3,body_10_value_4,body_10_separator_4,body_10_value_5,body_11,body_12,body_13,body_14,body_15,body_16_value_1,body_16_separator_1,body_16_value_2,body_16_separator_2,body_16_value_3,body_16_separator_3,body_16_value_4,body_17,body_18_value_1,body_18_separator_1,body_18_value_2,body_18_separator_2,body_18_value_3,body_19,body_20,body_21
16777234,046024,744,cell_0,132579601,669989,2,658,255,6615056,dd79f769df67adb50103a19344276532,5cba29c06294c278e73e9261d04a0fd7,7cbbc409ec990f19c78c75bd1e06f215,4294967295,0001,579029,0,2,0,12079,61765,0001,579029,0,0,0,2,,,-103,;,-26,;,73,;,24,;,-94,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,046024,745,cell_1,132579601,669992,1,463,255,6615057,9b9defbc80360c294979ebfdccdf63b0,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,0001,608318,0,2,0,08556,70055,0001,608318,0,0,0,2,,,-119,;,-8,;,17,;,10,;,-4,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,046024,746,cell_1,132579601,669994,1,958,255,6615056,9171c7f7e48b004148e38deb47e00139,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,0001,662283,0,2,0,02348,83165,0001,662283,0,0,0,1,,,,;,,,,,,,,199,50000000,150000000,4294967295,0,-122,;,8,;,97,;,4,0,112,;,-1,;,-1,0,0,1540
16777234,046024,747,cell_0,132579601,670218,2,838,255,6615056,bd0be2b5f6915a7b09d722d86b3f4798,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,0001,492865,0,2,0,11576,39890,0001,492865,0,0,0,2,,,-59,;,41,;,-103,;,-116,;,-38,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,046024,748,cell_1,132579601,670221,1,623,255,6615056,cd93312f0d5038f0cbf06b22550e0fb5,5cba29c06294c278e73e9261d04a0fd7,32bb90e8976aab5298d5da10fe66f21d,4294967295,0001,595448,0,2,0,02348,99010,0001,595448,0,0,0,2,,,-122,;,-71,;,1,;,14,;,-122,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,046024,749,cell_0,132579601,670235,2,463,255,6615056,b8f4d1ec9cbccbfc9d723211a2bf7d51,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,0001,440885,0,2,0,04026,66036,0001,440885,0,0,0,1,,,,;,,,,,,,,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,046024,750,cell_1,132579601,670262,1,402,255,6615056,b1d9479c7709dcf614839eeaf1c06949,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,0001,344485,0,2,0,11576,28401,0001,344485,0,0,0,1,,,,;,,,,,,,,199,110100000,346029000,4294967295,0,53,;,-120,;,4,;,9,0,40,;,-1,;,-1,65,0,1540
16777234,046024,751,cell_1,132579601,670467,1,857,255,6615056,cf715711aa233619b33c6dee88dec8cb,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,0001,446156,0,2,0,04026,61983,0001,446156,0,0,0,2,,,-113,;,72,;,-6,;,103,;,-113,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,046024,752,cell_0,132579601,670474,2,372,255,6615056,b8b2bf60fa8b2ae30b4678c1569b57c6,5cba29c06294c278e73e9261d04a0fd7,ea5d2f1c4608232e07d3aa3d998e5135,4294967295,0001,533959,0,2,0,04362,19975,0001,533959,0,0,0,2,,,-123,;,-106,;,84,;,-39,;,20,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
16777234,046024,753,cell_1,132579601,670475,1,42,255,6615057,e6c08872cba24257154e7ab78266e6af,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,0001,650425,0,2,0,24327,05016,0001,650425,0,0,0,2,,,-4,;,-110,;,-80,;,-65,;,87,72,-1,-1,4294967295,0,-1,;,-1,;,-1,;,-1,0,-1,;,-1,;,-1,-1,0,1540
