head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13_0,head_13_1,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21_value_1,head_21_separator_1,head_21_value_2,head_21_separator_2,head_21_value_3,head_21_separator_3,head_21_value_4,head_22,body_0,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,body_11,body_12,body_13,body_14_value_1,body_14_separator_1,body_14_value_2,body_14_separator_2,body_14_value_3,body_14_separator_3,body_14_value_4,body_15_value_1,body_15_separator_1,body_15_value_2,body_15_separator_2,body_15_value_3,body_15_separator_3,body_15_value_4,body_15_separator_4,body_15_value_5,body_16,body_17,body_18,body_19,body_20,body_21
1836279601,16777217,66,2023,10,13,14,14,54,0,100,site_117,6,0172,29987,6615057,0,0,,,,,5,;,6,;,,,,,630000,3,,,,,,,,,,80,65,1,-30,;,-22,;,-51,;,-78,,;,,,,,,,,664664673714.0,4195115.0,,,,0
1836279601,16777217,66,2023,10,13,14,14,59,0,600,site_117,6,0172,29987,6615057,0,0,,,,,5,;,6,;,,,,,630000,3,,,,,,,,,,80,65,1,-30,;,-22,;,-51,;,-78,,;,,,,,,,,664664673714.0,4195115.0,,,,0
1836279601,16777217,60,2023,10,13,14,19,41,0,600,site_117,6,2688,94947,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,600258412254.0,2514.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,29,0,500,site_117,6,2688,94947,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,600258412254.0,2514.0,,,,0
1836279601,16777217,60,2023,10,13,14,16,52,0,400,site_117,6,2688,94947,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,600258412254.0,2514.0,,,,0
1836279601,16777217,60,2023,10,13,14,14,8,0,400,site_117,6,2688,94947,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,600258412254.0,2514.0,,,,0
1836279601,16777217,58,2023,10,13,14,11,24,0,400,site_117,0,2688,96608,6615056,0,0,,,,,9,;,5,;,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,5132452147.0,5986.0,,,,0
1836279601,16777217,58,2023,10,13,14,19,36,0,500,site_117,7,2688,96828,6615056,0,0,,,,,8,;,5,;,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,5079041209.0,3314.0,,,,0
1836279601,16777217,57,2023,10,13,14,11,24,0,400,site_117,7,2688,96828,6615056,0,0,,,,,8,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,5079041209.0,3314.0,,,,0
1836279601,16777217,58,2023,10,13,14,16,52,0,400,site_117,7,2688,96828,6615056,0,0,,,,,8,;,5,;,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,5079041209.0,3314.0,,,,0
1836279601,16777217,58,2023,10,13,14,14,18,0,600,site_117,7,2688,96828,6615056,0,0,,,,,8,;,5,;,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,5079041209.0,3314.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,24,0,400,site_117,1,2688,97041,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,6,,;,,,,,,,;,,,,,,,,598182921354.0,5018.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,13,0,900,site_117,0,2688,97074,6615056,0,0,,,,,9,;,5,;,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,17312186468.0,5302.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,24,0,400,site_117,0,2688,97074,6615056,0,0,,,,,9,;,5,;,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,17312186468.0,5302.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,29,0,500,site_117,2,2688,97074,6615056,0,0,,,,,9,;,5,;,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,17312186468.0,5302.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,24,0,400,site_117,3,2688,97096,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,594939828092.0,4011.0,,,,0
1836279601,16777217,59,2023,10,13,14,10,58,0,600,site_117,7,2688,97108,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,589515187615.0,1854.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,3,0,700,site_117,7,2688,97109,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,591666836247.0,2718.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,24,0,400,site_117,7,2688,97109,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,591666836247.0,2718.0,,,,0
1836279601,16777217,59,2023,10,13,14,10,53,0,500,site_117,2,2688,97111,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,4,,;,,,,,,,;,,,,,,,,599226725208.0,4632.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,24,0,400,site_117,2,2688,97111,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,4,,;,,,,,,,;,,,,,,,,599226725208.0,4632.0,,,,0
1836279601,16777217,57,2023,10,13,14,10,54,0,0,site_117,2,2688,97112,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4482728726.0,2701.0,,,,0
1836279601,16777217,59,2023,10,13,14,10,55,0,600,site_117,1,2688,97113,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,587422632456.0,4593.0,,,,0
1836279601,16777217,59,2023,10,13,14,10,58,0,600,site_117,1,2688,97113,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,587422632456.0,4593.0,,,,0
1836279601,16777217,59,2023,10,13,14,10,58,0,700,site_117,0,2688,97114,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,584151527469.0,6077.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,3,0,800,site_117,4,2688,97115,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,584204462719.0,548.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,4,0,300,site_117,1,2688,97116,6615057,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,587353916412.0,4236.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,5,0,800,site_117,2,2688,97117,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,591669100144.0,6092.0,,,,0
1836279601,16777217,53,2023,10,13,14,11,9,0,800,site_117,0,2688,97118,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,,1756.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,10,0,500,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,19,0,100,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,24,0,400,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
