head_7,head_8,head_10,head_12,head_13_0,head_13_1,head_14,head_17,head_18,head_19,head_20,body_846,body_847,body_848,body_849,body_850,body_852,body_853,body_854,body_855,body_856,body_857,body_860,body_861,body_862,body_863,body_864,body_867,body_868,body_869,body_870,body_871,body_874,body_875,body_876,body_877,body_878,body_881,body_882,body_883,body_884,body_885,body_888,body_889,body_890,body_891,body_892,body_895,body_896,body_897,body_898,body_899,body_902,body_903,body_904,body_905,body_906,body_909,body_910,body_911,body_912,body_913,body_916,body_917,body_918,body_919,body_920,body_923,body_924,body_965,body_966,body_967,body_968,body_969,body_970,body_971,body_972,body_973,body_974,body_975,body_976,body_977,body_978,body_979,body_980,body_981,body_982,body_983,body_984,body_985,body_2218,body_2219
53,21,400,3,26872915,2,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
53,21,500,3,26872915,2,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
53,44,400,3,26872915,3,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
53,44,600,3,26872915,3,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
51,24,0,3,27292238,3,6615040,,,,,5,1,1,1,0,1,1,1,,,,41,0,,,,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,1,15
51,24,100,3,27292238,3,6615040,,,,,5,1,1,1,0,1,1,1,,,,41,0,,,,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,1,15
51,30,200,2,27292238,4,6615040,,,,,5,0,0,0,0,1,79,0,0,15,0,41,0,0,95,0,28,1,976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
56,25,200,2,27292241,6,6615040,,,,,5,0,1,1,0,0,78,0,0,95,0,77,0,0,91,0,41,0,0,95,0,28,1,976,0,0,8,1,960,0,0,5,1,960,0,0,1,1,988,0,0,,,,,,,,,,,,,,,,,,3,0,0,1,1,1,0,,,,,,,,,,,,,,,0,1
57,19,600,3,28130981,7,6615040,,,,,5,1,1,1,1,1,1,1,1020,508,0,5,1,960,448,0,8,1,,,0,28,1,976,464,0,41,1,476,479,0,77,1,,,0,78,1,476,479,0,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,,,,,,,,,,,,,,,,1,15
57,19,700,3,28130981,7,6615040,,,,,5,1,1,1,1,1,1,1,1020,508,0,5,1,960,448,0,8,1,,,0,28,1,976,464,0,41,1,476,479,0,77,1,,,0,78,1,476,479,0,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,,,,,,,,,,,,,,,,1,15
47,19,300,3,28550952,8,6615040,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,960,0,0,38,0,0,,0,41,0,0,79,0,77,0,0,79,0,78,0,0,79,0,79,0,0,,0,80,0,,,,84,0,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,0,0
47,19,400,3,28550952,8,6615040,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,960,0,0,38,0,0,,0,41,0,0,79,0,77,0,0,79,0,78,0,0,79,0,79,0,0,,0,80,0,,,,84,0,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,0,0
49,23,500,3,28550954,4,6615040,,,,,5,1,1,1,1,1,1,1,1020,508,0,5,1,960,448,0,8,1,,,0,28,1,976,464,0,41,1,476,479,0,77,1,,,0,78,1,476,479,0,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,,,,,,,,,,,,,,,,1,15
49,23,600,3,28550954,4,6615040,,,,,5,1,1,1,1,1,1,1,1020,508,0,5,1,960,448,0,8,1,,,0,28,1,976,464,0,41,1,476,479,0,77,1,,,0,78,1,476,479,0,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,,,,,,,,,,,,,,,,1,15
54,18,600,3,28550956,0,6615040,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,,0,0,41,0,0,79,0,77,0,0,79,0,78,0,0,79,0,79,0,0,,0,80,0,,,,84,0,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,0,0
54,18,800,3,28550956,0,6615040,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,,0,0,41,0,0,79,0,77,0,0,79,0,78,0,0,79,0,79,0,0,,0,80,0,,,,84,0,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,0,0
44,2,600,3,28969705,7,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,79,0,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
47,35,0,3,28969707,3,6615040,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,960,0,0,38,0,0,,0,41,0,0,79,0,77,0,0,79,0,78,0,0,79,0,79,0,0,,0,80,0,,,,84,0,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,0,0
47,35,100,3,28969707,3,6615040,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,960,0,0,38,0,0,,0,41,0,0,79,0,77,0,0,79,0,78,0,0,79,0,79,0,0,,0,80,0,,,,84,0,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,0,0
47,39,700,3,28969707,4,6615040,,,,,5,1,0,0,0,1,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,0,1
47,39,800,3,28969707,4,6615040,,,,,5,1,0,0,0,1,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,0,1
53,49,300,3,28969709,0,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
53,49,400,3,28969709,0,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
51,5,400,3,29389437,3,6615040,,,,,5,0,1,1,0,0,78,0,0,95,0,41,0,0,95,0,28,1,976,0,0,1,1,988,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,1,1,1,,,,,,,,,,,,,,,0,1
51,41,100,3,29389437,4,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,79,0,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
52,54,400,3,29389437,5,6615040,,,,,5,0,1,1,0,0,78,0,0,95,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,,,,,,,,,,,,,,,,,,0,1
56,49,500,3,29389439,2,6615040,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,960,0,0,28,0,,0,,41,0,0,79,0,77,0,0,79,0,78,0,0,79,0,79,0,0,,0,,,,,,,,,,,,,,,,,,3,0,0,0,,,,,,,,,,,,,,,,,,0,0
57,9,700,3,29389439,3,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
